,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws
521,Marion,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marion,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,6 oz.,Flattened Globe,Red,Red,,,,,,,,
522,Marizol Magic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marizol+Magic,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,2 oz.,Flattened Globe,Bi-color,Bi-color,,Looks like minature beefsteak.,USA,From Bill Minky.,Fresh,Seed Exchange,,
523,Marizol Purple,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marizol+Purple,,,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,12 oz.,Beefsteak,Deep Pink,Deep Pink,,,,From the Black Forest region of Germany.,,,,
524,Marmande,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marmande,,Heirloom,Open Pollinated,Early,Narrow,Indeterminate,4 ft.,6 oz.,Flattened Globe,Red,Red,,Slightly acid flavor?,France,,,,,
525,Marmara,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marmara,,,Hybrid,Mid,Narrow,Indeterminate,5 ft.,6 oz.,Flattened Globe,Red,Red,,Sweet flavor?,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",
526,Martian Giant,https://njaes.rutgers.edu/tomato-varieties/variety.php?Martian+Giant,,Heirloom,Open Pollinated,Late,Normal,Semi-Determinate,4 ft.,10 oz.,Beefsteak,Red,Red,,,,Originally developed for organic market gardeners by Seeds of Change and further selected by Bill Reynolds of Eel River Produce.,,,,
527,Martin,https://njaes.rutgers.edu/tomato-varieties/variety.php?Martin,,Specialty,Hybrid,Mid,Narrow,Indeterminate,5 ft.,8 oz.,Flattened Globe,Red,Red,,"Marmande type with very dark green, ribbed shoulders.",,,,,,
528,Martino's Roma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Martino's+Roma,,Garden,Hybrid,Late,Normal,Determinate,5 ft.,3 oz.,Plum,Red,Red,,Italian heirloom.,Italy,,,,,
529,Marvel Stripe,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marvel+Stripe,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,12 oz.,Beefsteak,Bi-color,Bi-color,,Sweet mild taste?,,,Fresh,Seed Exchange,,
530,Marzinera,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marzinera,,,Open Pollinated,Mid,,Indeterminate,5 ft.,3 oz.,Plum,Red,Red,,A cross betweeen 'San Marzano' and 'Cream Sauage'.,,,,,,
531,Matchless,https://njaes.rutgers.edu/tomato-varieties/variety.php?Matchless,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,10 oz.,Flattened Globe,Red,Red,,,USA,Released in 1889 by W. Atlee Burpee.,,,,
532,Mater Sandwich,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mater+Sandwich,,,Hybrid,Late,Normal,Indeterminate,5 ft.,10-16 oz.,Beefsteak,Red,Red,,,,,,,,
533,Matina,https://njaes.rutgers.edu/tomato-varieties/variety.php?Matina,,Heirloom,Open Pollinated,Very Early,Potato,Indeterminate,6 ft.,4 oz.,Round,Red,Red,,Intense flavor for a smaller variety?,Germany,,Fresh,Commercial,,
534,Matthew,https://njaes.rutgers.edu/tomato-varieties/variety.php?Matthew,,,Hybrid,Late,,Indeterminate,7 ft.,1 oz.,Grape,Golden,Golden,,,,,,,,
535,Maya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Maya,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,2.6-3 oz.,Plum,Red,Red,,,,,,,,
536,Medford,https://njaes.rutgers.edu/tomato-varieties/variety.php?Medford,,Garden,Open Pollinated,Late,Normal,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,Tomato Flavor,Bred by the late Dr. Tex Frazier of Oregon State U.,USA,,,,,
537,Medium Rare,https://njaes.rutgers.edu/tomato-varieties/variety.php?Medium+Rare,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,16 oz.,Flattened Globe,Pink,Pink,,"Rich meaty, smoky flavor",,,,,,
538,Mega Tom Giant,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mega+Tom+Giant,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
539,Megabite,https://njaes.rutgers.edu/tomato-varieties/variety.php?Megabite,,Garden,Hybrid,Early,Normal,Indeterminate Short Nodes,2 ft.,4 oz.,Round,Red,Red,,Very compact plants.,Ukraine,,,,,
540,Mexico,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mexico,,Heirloom,Open Pollinated,Late,Narrow,,6 ft.,16 oz.,Beefsteak,Pink,Pink,,,Mexico,Brought to USA by Mexican family in the midwest.,,,,
541,Micado Violettor,https://njaes.rutgers.edu/tomato-varieties/variety.php?Micado+Violettor,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,6 ft.,6 oz.,Flattened Globe,Pink,Pink,,,,,,,,
542,Midnight Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Midnight+Pear,,Garden,Open Pollinated,Early,Normal,Indeterminate,5 ft.,0.25 oz.,Pear,Purple,Purple,,"Purple pear shaped tomato, outstanding flavor",USA,,,,,
543,Mighty Sweet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mighty+Sweet,,,Hybrid,Early,,Indeterminate,7 ft.,1 oz.,Grape,Red,Red,,,,,,,,
544,Mikado,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mikado,,Garden,Open Pollinated,Late,Potato,Indeterminate,7 ft.,24 oz.,Flattened Globe,Red,Red,,"Introduced in 1886 in Iowa, first known potato leaf variety",USA,,,,,
545,Mingle Mix,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mingle+Mix,,Garden,Hybrid,Mid,Normal,Indeterminate,5 ft.,1 oz.,Grape,Multi,Multi,,"Multi-colored fruit, resistant to cracking",,,,,,
546,Mini Charm,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mini+Charm,,Specialty,Hybrid,Early,Narrow,Indeterminate Short Nodes,7 ft.,0.25 oz.,Grape,Red,Red,Sweet,,,,,,,
547,Minibel,https://njaes.rutgers.edu/tomato-varieties/variety.php?Minibel,,Garden,Open Pollinated,Early,Normal,Determinate,3 ft.,0.5 oz.,Cherry,Red,Red,,Prolific dwarf variety suited to containers,Netherlands,,,,,
548,Mint Julep (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Mint+Julep+(1),,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,6 oz.,Plum,Bi-color,Green,,Green fruit with yellow stripes.,,,,,,
549,Mirabelle Blanche,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mirabelle+Blanche,,,Open Pollinated,Mid,,Indeterminate,7 ft.,0.5 oz.,Cherry,,Orange,,,,,,,,
550,Miroma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Miroma,,,Hybrid,Mid,Narrow,Determinate,3 ft.,5 oz.,Plum,Red,Red,,,,,,,,
551,Missouri Pink Love Apple,https://njaes.rutgers.edu/tomato-varieties/variety.php?Missouri+Pink+Love+Apple,,,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,16 oz.,Beefsteak,Pink,Pink,,Potato Leaf.,,Grown since the Civil war by the Barnes family.,,,,
552,Momotaro,https://njaes.rutgers.edu/tomato-varieties/variety.php?Momotaro,,Garden,Hybrid,Late,Narrow,Indeterminate,5 ft.,6 oz.,Round,Pink,Pink,,Sweet flavor.  Popular in Japan.,Japan,,,,,
553,Moneymaker,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moneymaker,,,Open Pollinated,Late,,Indeterminate,6 ft.,6 oz.,Round,Red,Red,,,,,,,,
554,Montesino,https://njaes.rutgers.edu/tomato-varieties/variety.php?Montesino,,Commercial,Hybrid,Early,Normal,Indeterminate,7 ft.,0.5 oz.,Grape,Red,Red,,,,,,,,
555,Moonbeam,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moonbeam,,Garden,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,0.5 oz.,Pear,Yellow,Yellow,,Stunningly unique and packed with a tasty punch of unbeatable flavor?,USA,,,,,
556,Moonglow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moonglow,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5 ft.,6 oz.,Round,Orange,Orange,,,,,,,,
557,Moonshadow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moonshadow,,Garden,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,0.5 oz.,Pear,Purple,Purple,,"High yielding plants produce multitudes of gorgeous, black grape tomatoes with irresistible flavor?",USA,,,,,
558,Moravsky Div,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moravsky+Div,,Heirloom,Open Pollinated,Mid,Potato,Indeterminate,6 ft.,4 oz.,Round,Red,Red,,,,,,,,
559,Moreton,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moreton,,Specialty,Hybrid,Early,Normal,Indeterminate,5 ft.,8 oz.,Flattened Globe,Red,Red,,,,An early season variety grown by Jersey farmers in 1960’s. Seed was off the market for a few years and Rutgers NJAES worked with Harris Seeds and Eastern Seed Services to bring it back.,,,,
560,Morning Light,https://njaes.rutgers.edu/tomato-varieties/variety.php?Morning+Light,,Specialty,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.5 oz.,Grape,Yellow,Yellow,,,,,,,,
561,Mortgage Lifter,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mortgage+Lifter,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,15 oz.,Beefsteak,Pink,Pink,,Mild flavor can be somewhat mealy.,USA,"Saved by M.C Byles in West Virginia who sold plants for $1.00 in 1940 and paid off his $6,000 mortgage in 6 years.",Fresh,Commercial,,Cracks
562,"Mortgage Lifter, bi-color strain","https://njaes.rutgers.edu/tomato-varieties/variety.php?Mortgage+Lifter,+bi-color+strain",,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,14 oz.,Beefsteak,Bi-color,Bi-color,,,,,,,,
563,Mosaico,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mosaico,,Garden,Hybrid,Early,Normal,Indeterminate,5 ft.,0.5 oz.,Cherry,Red,Red,,Long clusters of fruit hang like grapes.,,,,,"Fusarium Wilt Race 1, Fusarium Wilt Race 2",
564,Moskvich,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moskvich,,Heirloom,Open Pollinated,Very Early,Narrow,Indeterminate,6 ft.,4 oz.,Flattened Globe,Red,Red,,Cold-tolerent plants.  Blemish free with small stem scar?,Russia,From Siberia.,Fresh,"Seed Exchange, Commercial",,
565,Mountain Delight,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Delight,,Commercial,Hybrid,Mid,Normal,Determinate,5 ft.,10 oz.,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
566,Mountain Fresh,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Fresh,,Commercial,Hybrid,Late,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Grown by local direct market farmers.,USA,Developed by Dr. Randy Gardner at NC State University.,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",
567,Mountain Fresh Plus (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Fresh+Plus+(1),,Commercial,Hybrid,Late,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
568,Mountain Fresh Plus (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Fresh+Plus+(2),,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,12 oz.,Round,Red,Red,,"Tolerates cool and wet conditions, large fruit with good flavor, VFN",USA,,,,,
569,Mountain Gem,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Gem,,Commercial,Open Pollinated,Mid,Normal,Determinate,4 ft.,12 oz.,Flattened Globe,Red,Red,,Late blight resistant. FFT.,USA,,,,,
570,Mountain Glory,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Glory,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,10 oz.,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
571,Mountain Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Gold,,Commercial,Hybrid,Late,Narrow,Determinate,4 ft.,9 oz.,Flattened Globe,Golden,Golden,Mild,Very crack resistant and firm.  Sweet mild flavor?,USA,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
572,Mountain Magic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Magic,,Commercial,Hybrid,Late,Normal,Indeterminate,6 ft.,2 oz.,Round,Red,Red,,Said to be highly tolerant to late blight and moderately tolerant to early blight.,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
573,Mountain Majesty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Majesty,,,Hybrid,Mid,,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
574,Mountain Man,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Man,,Garden,Hybrid,Mid,Normal,Determinate,3 ft.,8.5 oz.,Round,Red,Red,,"Good for container gardening, good balance of sweet and acid",,,,,,
575,Mountain Merit,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Merit,,,Hybrid,Late,Normal,Determinate,4 ft.,9 oz.,Flattened Globe,Red,Red,,Late blight resistant.,,,,,,
576,Mountain Pride,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Pride,,Garden,Hybrid,Mid,Normal,Determinate,4 ft.,7 oz.,Flattened Globe,Red,Red,,"Good yields, firm and crack resistant",USA,,,,,
577,Mountain Spring,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Spring,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Resisits cracking.,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
578,Mountain Vineyard (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Vineyard+(2),,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.5 oz.,Grape,Red,Red,,"Contains the crimson gene for high lycopene, crack and F resistant",,,,,,
579,Mr. Stripey,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mr.+Stripey,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,14 oz.,Round,Bi-color,Yellow,,Tangy flavor?,England,,,,,
580,Mr. Ugly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mr.+Ugly,,Specialty,Hybrid,Late,Normal,Indeterminate,6 ft.,10 oz.,Beefsteak,Red,Red,,Large shoulders.,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",
581,Mrs. Maxwell's Big Italian Hr,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mrs.+Maxwell's+Big+Italian+Hr,,,Open Pollinated,Early,,Indeterminate,8 ft.,16 oz.,Beefsteak,Pink,Pink,,Potato leaves.,,,,,,
582,Napa Grape,https://njaes.rutgers.edu/tomato-varieties/variety.php?Napa+Grape,,Garden,Hybrid,Early,Narrow,Indeterminate,6 ft.,1 inch,Grape,Red,Red,,Sweet flavor?,,,,,,
583,Napa Rose Blush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Napa+Rose+Blush,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,1 oz.,Cherry,Deep Pink,Deep Pink,Sweet,Holds on the vine,,,,,,
584,Napoli,https://njaes.rutgers.edu/tomato-varieties/variety.php?Napoli,,Specialty,Open Pollinated,Late,Normal,Determinate,4 ft.,6 oz.,Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1",
585,Nature Bites,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nature+Bites,,Specialty,Hybrid,Late,Normal,Indeterminate,7 ft.,0.75 oz.,Cherry,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Tobbacco Mosaic Virus",
586,Nature's Riddle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nature's+Riddle,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,12 oz.,Beefsteak,Bi-color,Yellow,,Yellow fruit with red stripes.,Russia,,,,,
587,Nebraska Wedding,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nebraska+Wedding,,Heirloom,Open Pollinated,Late,Narrow,Determinate,5 ft.,10 oz.,Flattened Globe,Orange,Orange,,Well-balanced flavor?,,,Fresh,"Seed Exchange, Commercial",,
588,Nectar,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nectar,,,Hybrid,Mid,,Indeterminate,5 ft.,1/2 oz.,Cherry,Red,Red,Sweet,1/2 oz. form in clusters of 20.,,,,,,
589,Nectarine,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nectarine,,Specialty,Open Pollinated,Early,Narrow,Indeterminate,5 ft.,6 oz.,Round,Orange,Orange,,Shiny and actually looks like the tree fruit.,,,,,,
590,Neves Azorean Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Neves+Azorean+Red,,Specialty,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,Rich tomato flavor?,,Developed by Anthony Neves.,,,,
591,New Big Dwarf,https://njaes.rutgers.edu/tomato-varieties/variety.php?New+Big+Dwarf,,,Open Pollinated,Mid,Narrow,Indeterminate Short Nodes,2 ft.,10 oz.,Round,Deep Pink,,,Good patio variety.,,,,,,
592,New Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?New+Girl,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,8 oz.,Round,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 2",
593,New Hampshire Red Pickling,https://njaes.rutgers.edu/tomato-varieties/variety.php?New+Hampshire+Red+Pickling,,Specialty,Open Pollinated,Late,Normal,Determinate,5 ft.,0.7 oz.,Small Pear,Red,Red,,,,,,,,
594,New Yorker,https://njaes.rutgers.edu/tomato-varieties/variety.php?New+Yorker,,Heirloom,Open Pollinated,Early,Normal,Determinate,5 ft.,6 oz.,Flattened Globe,Red,Red,,,,,,,,
595,Northern Lights,https://njaes.rutgers.edu/tomato-varieties/variety.php?Northern+Lights,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,7 ft.,10 oz.,Flattened Globe,Bi-color,Bi-color,,A unique medium-sized bicolor.  Sweet flavor?,,,,,,
596,Nova (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Nova+(1),,Specialty,Hybrid,Early,Normal,Indeterminate,8 ft.,1 oz.,Grape,Orange,Orange,,F1N.,,,,,,
597,Nugget,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nugget,,Specialty,Hybrid,Late,Normal,Indeterminate,8 ft.,0.5 oz.,Grape,Golden,Golden,,,,"Bred by Dr. Jim Baggett at Oregon State University. F1, V.",,,"Verticillium Wilt, Fusarium Wilt Race 1",
598,Nyagous,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nyagous,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,6 oz.,Round,Black,Black,,Fruit borne in clusters.,,,,,,
599,Oaxacan Jewel,https://njaes.rutgers.edu/tomato-varieties/variety.php?Oaxacan+Jewel,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,14 oz.,Beefsteak,Bi-color,Bi-color,,"Yellow with ruby streaking, rich fruity flavor.",,,,,,
600,Oh Happy Day,https://njaes.rutgers.edu/tomato-varieties/variety.php?Oh+Happy+Day,,Garden,Hybrid,Mid,Normal,Indeterminate,5 ft.,4 oz.,Round,Red,Red,Tomato Flavor,,,,,,,
601,Old Brooks,https://njaes.rutgers.edu/tomato-varieties/variety.php?Old+Brooks,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
602,Old Fashioned Goliath ,https://njaes.rutgers.edu/tomato-varieties/variety.php?Old+Fashioned+Goliath+,,Garden,Hybrid,Late,Normal,Indeterminate,6 ft.,12 oz.,Flattened Globe,Red,Red,Tomato Flavor,Also called 'Beef Maestro'.,,,,,,
603,Old German,https://njaes.rutgers.edu/tomato-varieties/variety.php?Old+German,,Heirloom,Open Pollinated,,Narrow,Indeterminate,,,Beefsteak,Bi-color,Bi-color,,Outstanding flavor?,USA,From Virginia Mennonite community.,Fresh,"Seed Exchange, Commercial",,
604,Old Ivory Egg,https://njaes.rutgers.edu/tomato-varieties/variety.php?Old+Ivory+Egg,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,5 oz.,Plum,White,White,,Fruit has size shape and color of a chicken's egg.  Creamy yellow when ripe. Mild sweet flavor?,,,"Fresh, Paste","Seed Exchange, Commercial",,
605,Old Yellow Candystripe,https://njaes.rutgers.edu/tomato-varieties/variety.php?Old+Yellow+Candystripe,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,8 ft.,10 oz.,Beefsteak,Bi-color,Yellow,,Yellow fruits with a red blush.,,,,,,
606,Olivade,https://njaes.rutgers.edu/tomato-varieties/variety.php?Olivade,,Specialty,Hybrid,Mid,Narrow,Indeterminate,4 ft.,3 3-1/2 oz.,Plum,Red,Red,,,,,,,,
607,Orange Banana,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Banana,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,6 oz.,Plum,Orange,Orange,,,,,,,,
608,Orange Blossom,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Blossom,,,Hybrid,Early,Narrow,Determinate,3 ft.,6-7 oz.,Round,Orange,Orange,Mild,,,,,,,
609,Orange Brandywine,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Brandywine,,Garden,Open Pollinated,Mid,Potato,Indeterminate,5 ft.,16 oz.,Flattened Globe,Orange,Orange,,Pure orange beefsteak,,,,,,
610,Orange Fizz,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Fizz,,Specialty,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.6 oz.,Grape,Orange,Orange,,Crack resistant.,,,,,,
611,Orange Icicle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Icicle,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,6 oz.,Plum,Orange,Orange,,Citrus overtones.,Ukraine,,,,,
612,Orange Jazz,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Jazz,,,Open Pollinated,Late,,Indeterminate,5 ft.,12 oz.,Beefsteak,Bi-color,Bi-color,,Orange with yellow stripes.,,,,,,
613,Orange King,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+King,,Specialty,Open Pollinated,Late,Normal,Determinate,3 ft.,12 oz.,Flattened Globe,Orange,Orange,,Compact plants.,,,,,,
614,Orange Minsk,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Minsk,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7 ft.,12 oz.,Beefsteak,Orange,Orange,,,,,,,,
615,Orange Oxheart (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Oxheart+(2),,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,12 oz.,Oxheart,Orange,Orange,,Meaty with well balanced flavor.,USA,,,,,
616,Orange Panuche,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Panuche,,,Hybrid,Early,Narrow,Semi-Determinate,5 ft.,1 oz.,Cherry,Orange,Orange,,,,,,,Tobbacco Mosaic Virus,
617,Orange Peach,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Peach,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,6 oz.,Round,Orange,Orange,,Fuzzy skin.,,,,,,
618,Orange Queen,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Queen,,Heirloom,Open Pollinated,Late,,Indeterminate,5 ft.,6 oz.,Round,Orange,Orange,,,,,,,,
619,Orange Roma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Roma,,,Open Pollinated,Late,,Indeterminate,6 ft.,6 oz.,Plum,Orange,Orange,,Nearly seedless.,,,,,,
620,Orange Russian 117,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Russian+117,,Garden,Open Pollinated,Late,Normal,Indeterminate,7 ft.,8 oz.,Oxheart,Bi-color,Yellow,Tomato Flavor,Yellow with red blush a cross between 'Russian 117' and 'Georgia Streak'.,,,,,,
